Generated by the Decompiler

This is a List of All Asset IDs
as the Decompiler often has to use an Asset's ID
because it can only GUESS what is an Asset and what is just a Number

Assets Found:

Sprites: 1024
Objects: 303
Rooms: 148
Sounds: 47
Backgrounds: 33
Shaders: 3
Fonts: 2
Paths: 0
Timelines: 0
Scripts: 159
Extensions: 0

--------------------- SPRITES ---------------------
0 - spr_plug
1 - spr_cheeseblob
2 - spr_cheesemaker
3 - spr_railh2right
4 - spr_railh2left
5 - spr_railh2
6 - spr_railvdown
7 - spr_railvup
8 - spr_railv
9 - spr_railhright
10 - spr_railhleft
11 - spr_railh
12 - spr_noisecrusher_idle
13 - spr_noisecrusher_hitbox
14 - spr_noisecrusher_dead
15 - spr_noisecrusherhelmet_air
16 - spr_noisecrusher_air
17 - spr_noisecrusherhelmet_stun
18 - spr_noisecrusher_stun
19 - spr_noisecrusherhelmet_land
20 - spr_noisecrusher_land
21 - spr_noisecrusherhelmet_jump
22 - spr_noisecrusher_jump
23 - spr_noisecrusherhelmet_jumpprep
24 - spr_noisecrusher_jumpprep
25 - spr_noisecrusherhelmet_bounce
26 - spr_noisecrusher_bounce
27 - spr_noisey_dead
28 - spr_noisey_stun
29 - spr_noisey_walk
30 - spr_noisesatellitestun
31 - spr_noisesatellitedead
32 - spr_noisesatellite
33 - spr_noise_throwbomb
34 - spr_noise_dead
35 - spr_noise_throw
36 - spr_noise_button
37 - spr_noise_walk
38 - spr_noisecrusher_mask
39 - spr_noiseHUD_lowhealth
40 - spr_noiseHUD_hurt
41 - spr_noiseHUD_happy
42 - spr_noiseHUD_idle
43 - spr_noiseHUD_mach1
44 - spr_noiseHUD_mach2
45 - spr_mouthhitbox
46 - spr_hungrypillar_happy
47 - spr_hungrypillar_angry
48 - spr_hungrypillar_mouth
49 - spr_hungrypillar
50 - spr_cigar_land
51 - spr_cigar_fall
52 - spr_cigar_turn
53 - spr_cigar_walk
54 - spr_cigar_idle
55 - spr_sausageman_palette
56 - spr_sausagemannocigar_grabbed
57 - spr_sausageman_shot
58 - spr_sausageman_grabbed
59 - spr_sausagemannocigar_recovery
60 - spr_sausageman_recovery
61 - spr_sausagemannocigar_rolling
62 - spr_sausageman_rolling
63 - spr_sausagemannocigar_stun
64 - spr_sausageman_stun
65 - spr_sausagemannocigar_stunland
66 - spr_sausageman_stunland
67 - spr_sausagemannocigar_hitwall
68 - spr_sausageman_hitwall
69 - spr_sausagemannocigar_stomped
70 - spr_sausageman_stomped
71 - spr_sausagemannocigar_stunfall
72 - spr_sausageman_stunfall
73 - spr_sausagemannocigar_stunfalltrans
74 - spr_sausageman_stunfalltrans
75 - spr_sausagemannocigar_hitceilling
76 - spr_sausageman_hitceilling
77 - spr_sausagemannocigar_flying
78 - spr_sausageman_flying
79 - spr_sausagemannocigar_hit
80 - spr_sausageman_hit
81 - spr_sausagemannocigar_land
82 - spr_sausageman_land
83 - spr_sausagemannocigar_fall
84 - spr_sausageman_fall
85 - spr_sausagemannocigar_turn
86 - spr_sausageman_turn
87 - spr_sausagemannocigar_walk
88 - spr_sausageman_walk
89 - spr_sausagemannocigar_idle
90 - spr_sausageman_idle
91 - spr_pizzagoblin_dead
92 - spr_pizzagoblin_grabbed
93 - spr_pizzagoblin_throwbomb
94 - spr_pizzagoblin_stomped
95 - spr_pizzagoblin_recovery
96 - spr_pizzagoblin_stun
97 - spr_pizzagoblin_stunland
98 - spr_pizzagoblin_stunfall
99 - spr_pizzagoblin_hitwall
100 - spr_pizzagoblin_stunfalltrans
101 - spr_pizzagoblin_flying
102 - spr_pizzagoblin_hit
103 - spr_pizzagoblin_hitceilling
104 - spr_pizzagoblin_land
105 - spr_pizzagoblin_fall
106 - spr_pizzagoblin_turn
107 - spr_pizzagoblin_walk
108 - spr_pizzagoblin_idle
109 - spr_slimemask
110 - spr_slimerecovery
111 - spr_slimeturn
112 - spr_slimefall
113 - spr_slimedead
114 - spr_slimestun
115 - spr_slimegrabbed
116 - spr_slimebounce
117 - spr_slimemove
118 - spr_slimehitbox
119 - spr_slimeidle
120 - spr_forknight_dead
121 - spr_forknight_mask
122 - spr_forknight_stun
123 - spr_forknight_grabbed
124 - spr_forknight_walk
125 - spr_forknight_idle
126 - spr_forkhitbox
127 - spr_coolpinea_idle
128 - spr_coolpinea
129 - spr_coolpinea_dead
130 - spr_coolpineahitbox
131 - spr_coolpineastun
132 - spr_coolpinea_grabbed
133 - spr_pepperman_stun
134 - spr_pepperman_hurt
135 - spr_pepperman_charge
136 - spr_peppermanlow_stun
137 - spr_peppermanlow_hurt
138 - spr_peppermanlow_charge
139 - spr_peppermanlow
140 - spr_pepperman
141 - spr_peppermanmid_stun
142 - spr_peppermanmid_hurt
143 - spr_peppermanmid_charge
144 - spr_peppermanmid
145 - spr_boxcrusher_land
146 - spr_boxcrusher_fall
147 - spr_boxcrusher_idle
148 - spr_grabbiehand_hifive
149 - spr_grabbiehand_release
150 - spr_grabbiehand_catch
151 - spr_grabbiehand_fall
152 - spr_grabbiehand_idle
153 - spr_grabbiehand_dropspot
